provincia,registros,hectareas,suma_asegurada_usd,prima_usd,siniestros_totales_usd,resultado_tecnico_usd,loss_ratio_campania,loss_cost_campania
BUENOS AIRES,109,56049.21000000001,22688367.000775747,666433.5966910152,647134.3831308925,19299.213560122647,0.9710410554690709,0.028522739565556485
CORDOBA,39,40724.75,17736296.447954867,688706.7306793277,54536.62770611289,634170.1029732148,0.07918701136014594,0.0030748599554672753
LA PAMPA,38,57043.0,18349700.956276447,611304.4375967861,96456.14432123351,514848.29327555257,0.1577874106401557,0.005256551294817753
SANTA FE,23,12793.7,6067703.583921015,160725.39672023375,5182.123149509438,155543.27357072433,0.032242092757311325,0.0008540501489297693
SAN LUIS,1,440.0,64510.57827926657,5512.615047479912,0.0,5512.615047479912,0.0,0.0
