cultivo,registros,hectareas,suma_asegurada_usd,prima_usd,siniestros_totales_usd,resultado_tecnico_usd,loss_ratio_campania,loss_cost_campania
TRIGO,54,35476.43,12844800.989139635,461223.82325785246,451023.78899839893,10200.034259453532,0.9778848495131808,0.03511333413259906
FINA OTROS,28,12203.8,4090023.3286318765,127380.6337034332,269725.03553588374,-142344.40183245053,2.1174728661175912,0.06594706530099609
GIRASOL,40,28518.8,10881957.259873059,393514.4294375457,15453.667000894275,378060.76243665145,0.03927090303393033,0.0014201183327450916
MAIZ,40,33845.5,13566273.75458392,381583.0286267349,35727.71409074191,345855.31453599303,0.09363024927843637,0.0026335687114282095
SOJA,45,56729.13,23350042.416925244,763865.1210883856,31379.07268182947,732486.0484065561,0.04107933693466631,0.0013438550612261157
SORGO,3,277.0,173480.8180535966,5115.740620891162,0.0,5115.740620891162,0.0,0.0
