cosecha,registros,hectareas,suma_asegurada_usd,prima_usd,siniestros_totales_usd,resultado_tecnico_usd,loss_ratio_campania,loss_cost_campania
FINA,82,47680.23,16934824.317771506,588604.4569612857,720748.8245342828,-132144.36757299711,1.2245045310312501,0.042560159527484716
GRUESA,128,119370.43000000001,47971754.249435835,1544078.3197735574,82560.45377346565,1461517.8660000917,0.05346908425317009,0.0017210221945226569
