provincia,provincia_norm,registros,has,suma_asegurada_usd,suma_asegurada_helada_usd,prima_usd,st_pagado_usd,rsp_usd,hyg_usd,siniestros_total_usd,resultado_tecnico_usd,tasa_prima_pct,loss_cost_campania_pct,loss_ratio_pct,share_suma_asegurada_pct,semaforo_loss_ratio
BUENOS AIRES,BUENOSAIRES,109,51416.21,20730130.34950635,1265172.1544428773,605570.0880058437,597345.981869978,20396.514448502556,0.0,617742.4963184806,-12172.408312636964,0.02921207333461192,0.029799257694160666,1.02010074234796,0.3193841083766107,Crítico
LA PAMPA,LAPAMPA,38,61677.0,20307939.567700986,111481.94640338505,672169.437596786,71024.0081227173,10162.455295836377,0.0,81186.46341855369,590982.9741782323,0.033098849607857125,0.003997769598826151,0.12078273553885528,0.3128795170335591,Normal
CORDOBA,CORDOBA,39,40724.75,17736296.447954867,0.0,688706.730679328,24825.176479181886,9967.614689554419,0.0,34792.7911687363,653913.9395105917,0.03883035743681095,0.001961671720521348,0.050519023001876745,0.2732588329850134,Normal
SANTA FE,SANTAFE,23,12793.7,6067703.583921015,85979.57686882933,160725.39672023375,1144.1197954711467,1547.256245434624,0.0,2691.3760409057704,158034.02067932798,0.026488669806835105,0.0004435576002818803,0.016745182129433517,0.09348364271575008,Normal
SAN LUIS,SANLUIS,1,440.0,64510.57827926657,0.0,5512.615047479912,0.0,0.0,0.0,0.0,5512.615047479912,0.08545288531775018,0.0,0.0,0.0009938988890667417,Normal
