cosecha,cultivo,cultivo_norm,registros,has,suma_asegurada_usd,suma_asegurada_helada_usd,prima_usd,st_pagado_usd,rsp_usd,hyg_usd,siniestros_total_usd,resultado_tecnico_usd,tasa_prima_pct,loss_cost_campania_pct,loss_ratio_pct,share_suma_asegurada_pct,semaforo_loss_ratio
GRUESA,SOJA,SOJA,45,56729.63,23350044.21170663,71166.98166431594,763866.4343462382,7170.773842220598,7093.709276844412,0.0,14264.483119065011,749601.9512271731,0.03271370398362119,0.0006108974779548152,0.018674054098572083,0.35974848808839993,Normal
GRUESA,MAIZ,MAIZ,40,33845.5,13566273.754583921,0.0,381583.02862673486,26168.675544192844,2224.074061358656,0.0,28392.749605551497,353190.2790211834,0.028127327778403512,0.0020928922797210873,0.07440778932892567,0.20901230113123626,Normal
FINA,TRIGO,TRIGO,54,35476.43,12844800.989139633,1291777.6057827927,461223.82325785246,405865.7092549306,20733.561555880206,0.0,426599.2708108108,34624.55244704163,0.03590743240380449,0.033211824081315344,0.9249289592144844,0.19789674459471313,Atención
GRUESA,GIRASOL,GIRASOL,40,28519.3,10881957.425246827,0.0,393514.60749452154,5871.010591672753,3459.9205770635504,0.0,9330.931168736304,384183.6763257852,0.036162116071281704,0.0008574680826344675,0.023711778396603,0.16765568817262452,Normal
FINA,FINA OTROS,FINAOTROS,28,12203.8,4090023.328631876,99689.09026798308,127380.63370343317,249263.11703433163,8562.575208181153,0.0,257825.69224251277,-130445.0585390796,0.031144231577290866,0.06303770700710311,2.024057227119634,0.06301400097494979,Crítico
GRUESA,SORGO,SORGO,3,277.0,173480.8180535966,0.0,5115.740620891162,0.0,0.0,0.0,0.0,5115.740620891162,0.02948879696492244,0.0,0.0,0.002672777038076483,Normal
