registro_id,anio_contrato,cosecha,cobertura,cultivo,provincia,departamento,provincia_norm,departamento_norm,cultivo_norm,cobertura_norm,has,suma_asegurada_usd,suma_asegurada_helada_usd,prima_usd,st_pagado_usd,rsp_usd,hyg_usd,siniestros_total_usd,resultado_tecnico_usd,tasa_prima_pct,loss_cost_campania_pct,loss_ratio_pct,prima_por_ha_usd,suma_asegurada_por_ha_usd,siniestros_por_ha_usd,share_suma_asegurada_pct,siniestro_flag,semaforo_loss_ratio,cluster_negocio,fuente_archivo,fuente_solapa,fuente_columnas
193,2025,GRUESA,BASICA,SOJA,CORDOBA,UNION,CORDOBA,UNION,SOJA,BASICA,195.0,79067.34837799717,0.0,2107.2030679327977,0.0,0.0,0.0,0.0,2107.2030679327977,0.0266507365070458,0.0,0.0,10.806169579142553,405.47358142562655,0.0,0.0012181715279957627,False,Normal,Sin siniestros,Copia de REA 25-26 v2.xlsx,25-26,A:M
194,2025,GRUESA,BASICA,SOJA,LA PAMPA,CATRILO,LAPAMPA,CATRILO,SOJA,BASICA,254.0,64798.66008462624,0.0,1724.9423813002193,0.0,0.0,0.0,0.0,1724.9423813002193,0.026620031634102714,0.0,0.0,6.791111737402438,255.11283497884347,0.0,0.0009983372958202483,False,Normal,Sin siniestros,Copia de REA 25-26 v2.xlsx,25-26,A:M
195,2025,GRUESA,BASICA,SOJA,LA PAMPA,CHAPALEUFU,LAPAMPA,CHAPALEUFU,SOJA,BASICA,5029.0,2472703.843441467,0.0,84201.0,0.0,0.0,0.0,0.0,84201.0,0.03405219764725665,0.0,0.0,16.74309007755021,491.6889726469411,0.0,0.03809635052949764,False,Normal,Sin siniestros,Copia de REA 25-26 v2.xlsx,25-26,A:M
196,2025,GRUESA,BASICA,SOJA,LA PAMPA,CONHELLO,LAPAMPA,CONHELLO,SOJA,BASICA,3715.0,1235797.9019746121,0.0,41111.032856099344,0.0,0.0,0.0,0.0,41111.032856099344,0.0332667928877451,0.0,0.0,11.066226879165368,332.6508484453868,0.0,0.01903963961641209,False,Normal,Sin siniestros,Copia de REA 25-26 v2.xlsx,25-26,A:M
197,2025,GRUESA,BASICA,SOJA,LA PAMPA,MARACO,LAPAMPA,MARACO,SOJA,BASICA,5131.0,2122725.282087447,0.0,58607.0,0.0,0.0,0.0,0.0,58607.0,0.027609319253204073,0.0,0.0,11.422139933736114,413.7059602587112,0.0,0.03270431541517699,False,Normal,Sin siniestros,Copia de REA 25-26 v2.xlsx,25-26,A:M
198,2025,GRUESA,BASICA,SOJA,LA PAMPA,QUEMU QUEMU,LAPAMPA,QUEMUQUEMU,SOJA,BASICA,2578.0,940095.9238363893,0.0,27539.626932067204,3536.1911541271,1339.1431701972242,0.0,4875.334324324324,22664.29260774288,0.029294486055935813,0.005185996663434963,0.1770297882520505,10.682555055107526,364.6609479582581,1.8911304593965572,0.014483830702498274,True,Normal,Rentable con siniestro,Copia de REA 25-26 v2.xlsx,25-26,A:M
199,2025,GRUESA,BASICA,SOJA,LA PAMPA,RANCUL,LAPAMPA,RANCUL,SOJA,BASICA,1236.0,157659.73201692523,0.0,4196.891906501095,0.0,0.0,0.0,0.0,4196.891906501095,0.026619935558754765,0.0,0.0,3.395543613674025,127.5564174894217,0.0,0.002429025389042966,False,Normal,Sin siniestros,Copia de REA 25-26 v2.xlsx,25-26,A:M
200,2025,GRUESA,BASICA,SOJA,LA PAMPA,TRENEL,LAPAMPA,TRENEL,SOJA,BASICA,100.0,49365.30324400564,0.0,2019.7224251278305,0.0,0.0,0.0,0.0,2019.7224251278305,0.040913805697589484,0.0,0.0,20.197224251278307,493.6530324400564,0.0,0.0007605592968065056,False,Normal,Sin siniestros,Copia de REA 25-26 v2.xlsx,25-26,A:M
201,2025,GRUESA,BASICA + VIENTOS,SOJA,LA PAMPA,QUEMU QUEMU,LAPAMPA,QUEMUQUEMU,SOJA,BASICAVIENTOS,73.0,44788.43441466855,0.0,1489.1680058436816,0.0,0.0,0.0,0.0,1489.1680058436816,0.033248940832724616,0.0,0.0,20.39956172388605,613.540197461213,0.0,0.0006900445848597311,False,Normal,Sin siniestros,Copia de REA 25-26 v2.xlsx,25-26,A:M
202,2025,GRUESA,BASICA,SOJA,SAN LUIS,SAN LUIS,SANLUIS,SANLUIS,SOJA,BASICA,440.0,64510.57827926657,0.0,5512.615047479912,0.0,0.0,0.0,0.0,5512.615047479912,0.08545288531775018,0.0,0.0,12.528670562454346,146.61495063469675,0.0,0.0009938988890667417,False,Normal,Sin siniestros,Copia de REA 25-26 v2.xlsx,25-26,A:M
203,2025,GRUESA,BASICA,SOJA,SANTA FE,BELGRANO,SANTAFE,BELGRANO,SOJA,BASICA,44.0,25343.441466854725,0.0,648.4536157779401,0.0,0.0,0.0,0.0,648.4536157779401,0.02558664404856051,0.0,0.0,14.737582176771365,575.9873060648802,0.0,0.0003904602778476485,False,Normal,Sin siniestros,Copia de REA 25-26 v2.xlsx,25-26,A:M
204,2025,GRUESA,BASICA,SOJA,SANTA FE,CONSTITUCION,SANTAFE,CONSTITUCION,SOJA,BASICA,20.0,7052.186177715092,0.0,198.64864864864865,0.0,0.0,0.0,0.0,198.64864864864865,0.028168378378378378,0.0,0.0,9.932432432432432,352.60930888575456,0.0,0.00010865132811521509,False,Normal,Sin siniestros,Copia de REA 25-26 v2.xlsx,25-26,A:M
205,2025,GRUESA,BASICA,SOJA,SANTA FE,GENERAL LOPEZ,SANTAFE,GENERALLOPEZ,SOJA,BASICA,505.5,216393.8645980254,0.0,5114.495982468956,0.0,0.0,0.0,0.0,5114.495982468956,0.023635124738724343,0.0,0.0,10.117697294696253,428.078861717162,0.0,0.003333927975250535,False,Normal,Sin siniestros,Copia de REA 25-26 v2.xlsx,25-26,A:M
206,2025,GRUESA,BASICA,SOJA,SANTA FE,ROSARIO,SANTAFE,ROSARIO,SOJA,BASICA,1170.0,462360.7193229901,0.0,12501.834258582909,538.8339663988312,538.8339663988312,0.0,1077.6679327976624,11424.166325785247,0.027039135757225812,0.0023307947404693752,0.08620078546136611,10.685328426139238,395.18010198546165,0.9210837032458653,0.007123479862385818,True,Normal,Rentable con siniestro,Copia de REA 25-26 v2.xlsx,25-26,A:M
207,2025,GRUESA,BASICA,SOJA,SANTA FE,SAN MARTIN,SANTAFE,SANMARTIN,SOJA,BASICA,2427.0,1286252.9619181945,0.0,27525.02366691015,0.0,0.0,0.0,0.0,27525.02366691015,0.02139938603201501,0.0,0.0,11.341171679814648,529.976498524184,0.0,0.019816988531323916,False,Normal,Sin siniestros,Copia de REA 25-26 v2.xlsx,25-26,A:M
208,2025,GRUESA,BASICA,SORGO,BUENOS AIRES,GENERAL VILLEGAS,BUENOSAIRES,GENERALVILLEGAS,SORGO,BASICA,147.0,112958.9562764457,0.0,2685.133791088386,0.0,0.0,0.0,0.0,2685.133791088386,0.023770879969154713,0.0,0.0,18.266216265907385,768.4282739894264,0.0,0.001740331340191707,False,Normal,Sin siniestros,Copia de REA 25-26 v2.xlsx,25-26,A:M
209,2025,GRUESA,BASICA,SORGO,CORDOBA,RIO TERCERO,CORDOBA,RIOTERCERO,SORGO,BASICA,50.0,18203.45557122708,0.0,782.4826515704895,0.0,0.0,0.0,0.0,782.4826515704895,0.04298539079620161,0.0,0.0,15.64965303140979,364.06911142454163,0.0,0.00028045624069739897,False,Normal,Sin siniestros,Copia de REA 25-26 v2.xlsx,25-26,A:M
210,2025,GRUESA,BASICA,SORGO,CORDOBA,TERCERO ARRIBA,CORDOBA,TERCEROARRIBA,SORGO,BASICA,80.0,42318.406205923835,0.0,1648.1241782322863,0.0,0.0,0.0,0.0,1648.1241782322863,0.03894579985390796,0.0,0.0,20.60155222790358,528.980077574048,0.0,0.000651989457187377,False,Normal,Sin siniestros,Copia de REA 25-26 v2.xlsx,25-26,A:M
